FA 18:1,FA 18:2,FA 18:3,FA 20:4,FA 22:6,LPC O-16:0,LPC O-16:1,LPC O-18:0,LPC O-18:1,LPC O-18:2,LPE 16:0,LPE 17:0,LPE 18:0,LPE 18:1,LPE 18:2,LPE 18:3,LPE 20:3,LPE 20:4,LPE 20:5,LPE 22:4,LPE 22:5,LPE 22:6,LPE O-16:1,LPE O-18:1,LPE O-18:2,LPE O-20:1,LPG 18:1,LPG 18:2,LPI 18:0,LPI 18:1,LPI 18:2,LPI 20:3,LPI 20:4,Hex2NeuAcCer 34:1;O2,PE 34:1,PE 36:1,PE 36:2,PE 36:3,PE 36:4,PE 36:5,PE 37:4,PE 38:2,PE 38:4,PE 38:6,PE 40:6,PE 40:7,PE O-16:1_18:1,PE O-16:1_18:2,PE O-16:1_20:4,PE O-18:1_16:0,PE O-18:1_18:1,PE O-18:1_18:2,PE O-18:1_20:4,PE O-18:1_22:6,PE O-18:2_18:2,PE O-18:2_20:4,PE O-35:2
2.1901,2.0113,-1.3389,0.801,0.0586,0.931,1.6943,0.01,1.2322,-1.2585,2.5848,-1.5745,1.7275,1.5944,3.1212,-0.9237,0.4271,2.3109,-0.8789,-0.6861,0.2757,1.176,-0.3606,0.0964,-1.3032,-1.3721,-1.2795,-1.7406,0.0494,0.0967,0.541,-0.5775,1.1227,0.2893,0.3652,1.0714,2.4758,1.1942,0.9905,-1.8204,-2.6091,-2.2444,1.9614,0.5719,0.0581,-2.3008,0.6714,1.0808,2.2655,-1.3551,0.8154,3.0414,3.4578,1.1441,0.7181,1.8516,-1.7461
2.7374,1.982,-0.8517,0.3992,1.2929,0.5319,0.9699,-0.861,-0.804,-1.589,1.8858,-1.8725,1.2545,1.0391,1.8283,-2.3264,-0.8456,1.4036,-1.3595,-1.9814,-0.8524,1.3854,-0.942,-0.8262,-1.8557,-1.6576,-1.4126,-1.8385,0.145,-0.4055,-0.5076,-1.2176,0.1332,-0.117,0.6961,1.0121,2.576,0.9061,1.0843,-1.3406,-2.3402,-2.445,2.1614,1.4519,1.3516,-0.4727,0.1795,0.9462,2.6094,-1.4863,0.0958,2.1358,3.4871,1.8761,0.9913,2.0232,-2.162
2.4533,0.9743,-0.946,0.5023,1.6277,0.3846,0.6456,-0.7568,-0.7794,-2.2014,1.945,-1.4665,1.1466,1.0182,1.7223,-1.4362,-0.3836,1.5185,-0.629,-2.1257,-0.7563,1.3475,-0.9173,-0.6562,-1.8557,-1.6374,-1.2795,-1.9325,0.3506,0.3619,-0.4394,-0.5627,0.8771,0.114,0.5562,0.7576,1.9246,0.5597,0.9643,-0.8498,-1.5571,-2.6325,1.9674,1.31,1.0667,-0.8073,0.2266,0.5544,2.3112,-1.3986,0.5325,2.2215,3.6287,1.8152,1.0443,1.9693,-1.5151
3.7975,2.8025,-0.1906,0.9974,1.2722,0.0491,0.1628,-0.9397,-0.265,-2.0716,1.8658,-1.4829,1.2918,0.9768,1.8238,-1.3718,-0.1772,1.653,-0.3625,-1.5091,-0.0945,1.0726,-1.1498,-0.9327,-1.9996,-1.7064,-1.2885,-1.8084,-0.001,-0.5765,-0.2212,-0.9472,0.351,-0.5334,0.8308,0.9511,2.2879,0.8724,1.1114,-0.6719,-1.4985,-2.724,1.9843,1.1917,0.9541,-1.1951,-0.4704,-0.3655,1.2482,-1.8986,-0.3629,0.6778,1.7629,0.5445,-0.0426,1.2639,-2.5273
4.2617,3.5584,0.3806,0.8652,1.1147,0.1426,0.0298,-1.0006,-0.2556,-2.1035,1.2002,-2.2271,0.769,1.0738,1.914,-1.9707,-0.147,2.1045,0.1045,-0.9108,-0.009,1.691,-1.1046,-0.8022,-1.731,-1.6451,-1.4091,-1.8426,0.0396,0.1786,-0.2132,-0.6802,0.5335,-0.4607,-0.7477,-0.2023,1.0935,-0.2879,-0.3228,-2.3217,-4.149,-4.1748,0.9342,-0.3739,-0.905,-4.3281,-0.0558,0.1786,1.5444,-1.7937,-0.0243,1.4492,2.4618,1.0311,0.3613,1.7123,-2.5159
4.1483,3.398,0.0392,1.2727,1.1689,0.792,1.2119,-0.4982,0.1091,-1.4643,2.4492,-1.5518,1.4156,1.2181,2.2437,-1.5482,-0.0385,2.1644,-0.6346,-0.9738,0.3051,1.4783,-0.575,-0.2391,-1.0752,-1.5013,-1.3225,-1.8337,-0.0931,-0.0665,-0.2432,-0.8451,0.6396,-0.1566,0.1379,-0.1347,1.4958,-0.1193,0.708,-1.7065,-2.784,-3.9643,1.5174,0.5625,-0.1907,-2.7554,0.2418,0.5889,2.2724,-1.4785,0.3569,2.3401,3.5731,1.3591,1.2095,2.0728,-1.912
1.8529,0.6843,-1.9366,-0.1713,0.0491,1.0443,0.7182,-0.2357,0.7964,-1.5655,1.7386,-2.0482,1.1964,1.4355,2.5003,-2.581,-0.4289,1.7275,-1.6284,-1.3136,-0.605,1.1387,-0.9777,-0.6562,-1.6208,-1.5508,-1.358,-1.7354,0.0881,-0.132,-0.0872,-0.6918,0.646,-0.1428,0.3652,0.9285,2.3945,0.9834,0.4352,-2.2204,-3.4871,-2.445,1.7655,0.7183,0.2511,-1.5471,0.0295,0.2222,1.2482,-1.7397,0.2257,1.9549,2.5252,1.2221,0.6863,1.499,-2.3026
3.0227,2.3453,-0.3719,1.1597,1.8585,0.2726,0.5324,-0.5134,-0.7106,-1.8512,1.5193,-1.8596,1.2006,0.9945,1.9249,-1.8801,0.0492,1.6959,-0.8861,-1.5311,-0.1958,1.2229,-1.1971,-0.7595,-2.314,-1.5393,-1.31,-1.946,-0.1311,-0.4095,-0.3897,-0.7678,0.0199,0.3198,0.3964,0.5236,2.0124,0.4862,0.976,-1.1322,-2.5126,-3.1598,1.8965,0.9369,0.3902,-1.475,0.0673,0.4008,1.495,-1.5947,0.3857,2.2215,2.6842,1.4805,0.5249,1.4693,-2.2523
2.4007,1.459,-0.7804,0.488,0.9193,0.5529,0.9109,-0.6498,0.1581,-1.7001,1.3258,-1.8283,1.1049,0.984,2.0779,-2.0853,-0.3512,1.942,-0.7536,-1.6495,-0.2925,1.2158,-1.2068,-0.8343,-1.8183,-1.6279,-1.2617,-1.6924,0.2723,-0.3003,-0.4013,-0.8451,0.7329,0.4547,0.0099,0.5503,2.2249,0.8492,0.8453,-1.3371,-2.1464,-3.1467,2.0136,0.803,0.2359,-1.9658,0.539,0.9629,2.7129,-1.2456,0.7753,2.9885,4.2801,1.83,1.3702,2.2914,-1.4811
2.9561,2.0438,-0.9954,0.5652,1.1734,0.3613,0.5013,-0.9767,-0.0876,-1.8703,2.2866,-1.5167,1.4363,1.1379,2.1953,-1.3072,-0.2277,1.7891,-0.2659,-1.4461,-0.1933,1.3634,-0.898,-0.6877,-1.8368,-1.6497,-1.2558,-1.7599,0.0785,-0.0792,-0.3244,-0.9579,0.4487,-0.1081,0.3124,0.6536,2.2792,0.6021,0.8205,-1.0939,-2.4784,-3.2814,1.8518,1.0358,0.7758,-1.6297,0.1122,0.5048,1.6291,-1.5772,0.2499,2.3341,2.713,1.3066,0.5529,1.7275,-2.0041
1.2226,0.3241,-1.8893,-0.1896,0.6711,0.2559,0.4934,-0.8673,-0.8786,-1.8964,1.7798,-1.6921,1.1375,0.8432,1.8961,-1.8668,-0.5073,1.3947,-0.8255,-2.5351,-0.8032,1.23,-1.0842,-0.9238,-1.9491,-1.7195,-1.4162,-1.8468,-0.0733,-0.9302,-0.9083,-0.9139,0.0297,-0.2529,0.3124,0.7576,2.1974,0.6908,0.7874,-1.1897,-2.1129,-2.7936,1.9022,1.1068,0.827,-1.2387,-0.0665,-0.0468,1.4367,-1.797,-0.0982,1.4139,2.5628,1.2705,0.196,1.5843,-2.1657
1.3739,0.4424,-1.5953,-0.0856,1.6277,0.1426,0.1163,-1.1687,-0.9913,-2.5584,1.8708,-1.9804,0.9825,0.534,1.0226,-2.6925,-1.2453,0.6836,-0.3399,-3.4575,-0.9914,1.4131,-1.5745,-1.2722,-2.4384,-1.8212,-1.9607,-2.3132,-0.8494,-1.5777,-1.5175,-1.5097,-0.7166,-1.0306,0.3192,0.2943,1.2856,-0.0121,0.6825,-0.4947,-3.1142,-4.0765,1.5514,1.5009,1.1728,-0.2778,-0.8276,-0.9323,-0.004,-2.22,-1.1522,-0.2261,0.4693,0.3065,-0.9242,0.7375,-3.1879
1.4547,0.0969,-2.6357,0.1151,1.0054,0.8973,1.317,-0.3338,0.4924,-1.6685,1.8608,-1.9886,1.2048,1.1354,1.9619,-2.6445,-0.6909,1.7399,-1.4192,-1.8032,-0.5174,1.1311,-0.9751,-0.7332,-2.1586,-1.5551,-1.2077,-1.889,-0.1354,-0.4232,-0.4951,-0.9544,0.6202,0.4068,-0.3706,-0.1476,1.254,-0.2338,-0.0774,-2.1412,-5.2688,-4.9488,1.1996,-0.2279,-0.978,-3.0956,-0.1234,-0.0655,1.6683,-1.6091,-0.0971,1.4623,3.1426,1.403,0.3216,1.6341,-2.3257
3.5083,2.4367,-0.5235,0.2805,0.2943,0.6927,0.6822,-0.351,0.0597,-1.6429,1.984,-1.3518,1.2937,1.295,2.5774,-1.1615,0.0199,2.2178,-0.4583,-1.2194,0.0295,1.6231,-1.0814,-0.6104,-1.8183,-1.4888,-1.358,-1.9494,-0.1025,-0.337,-0.7742,-1.0844,-0.0171,0.2008,0.1872,0.5072,2.2107,0.9024,0.9819,-1.2573,-1.7913,-3.019,1.9161,0.8953,0.464,-1.1066,0.3404,0.9462,1.9917,-1.4633,0.6402,2.6866,3.2417,1.5952,1.1111,1.9716,-1.7862
2.9561,2.4706,-0.9848,1.0804,1.8967,0.786,0.9829,-0.4293,0.5391,-1.5938,1.5958,-1.9513,1.2251,0.7297,1.3224,-2.5687,-0.9195,1.4886,-1.0965,-2.2661,-1.4059,1.2884,-0.879,-0.5014,-1.6258,-1.605,-1.4987,-1.7629,0.0494,-0.4014,-0.2666,-0.9983,0.6587,-0.3178,0.1547,0.545,2.0561,0.275,0.8861,-1.5087,-2.5479,-2.724,2.1077,1.393,1.2416,-0.5323,0.3203,0.7581,2.5405,-1.3649,0.7177,2.5726,4.2694,2.326,1.0755,2.2352,-1.7131
1.7116,0.8254,-1.1082,-0.1736,-0.243,0.7306,0.8976,-0.3644,0.4643,-1.6841,2.2911,-1.5385,1.29,1.2653,2.4082,-0.892,-0.1908,1.8878,-0.5503,-1.3948,-0.3075,1.2335,-0.4459,-0.3908,-1.2477,-1.5474,-1.2472,-1.7446,0.0689,-0.5084,-0.5132,-0.9208,0.3969,-0.258,-0.1248,0.5127,1.8698,0.5488,0.38,-1.7446,-2.7696,-3.0378,1.4302,0.2248,-0.1907,-2.7275,-0.0223,0.3776,1.7989,-1.7129,-0.0407,1.6296,2.5584,0.8285,0.3216,1.6035,-2.3246
3.7137,2.7167,-0.4495,1.1742,0.789,0.9086,0.8776,-0.3752,0.5205,-1.7055,1.1134,-2.1023,1.0731,0.7923,1.5642,-2.9173,-0.2312,1.8507,-1.2362,-1.3387,-0.1751,1.0924,-0.582,-0.3229,-1.3581,-1.5719,-1.4563,-1.9555,0.0199,-0.5307,-0.5259,-0.9087,0.4487,0.114,-0.2424,0.1554,1.4621,-0.3744,0.3208,-2.2647,-3.556,-3.4282,1.6452,0.4043,0.2586,-2.6603,0.3729,0.831,2.8269,-1.402,0.5511,2.4075,4.0343,1.5865,1.3075,2.3144,-1.7862
2.7632,1.93,-0.9235,0.3131,1.3255,0.8396,1.17,-0.4265,0.2454,-1.4519,1.0754,-1.965,1.0731,0.9331,1.8849,-2.4523,-0.7095,1.358,-2.2844,-2.9209,-1.2624,1.0111,-0.7871,-0.3087,-1.4124,-1.5998,-1.5395,-2.012,-0.0181,-0.1486,-0.4183,-0.8899,0.0199,-0.1394,-0.3345,0.2277,1.7253,0.3042,0.2788,-2.2874,-3.2589,-2.3608,1.7833,0.5136,-0.0357,-1.508,0.589,1.292,2.3269,-1.4267,0.977,3.5,4.2587,2.1499,1.5832,2.1432,-1.4686
1.397,0.4726,-1.6301,0.1059,1.2512,-0.0273,0.3888,-0.8177,-0.8786,-2.3031,1.3955,-1.9123,0.9385,1.1189,1.9567,-1.9072,-0.7764,1.445,-1.6911,-2.244,-0.7628,1.487,-1.362,-1.0466,-2.2029,-1.7362,-1.2977,-1.8097,0.3248,-0.1744,-0.0508,-0.7708,0.7207,-0.3699,0.4496,1.1213,2.5173,1.0324,0.9056,-1.655,-1.9878,-2.6451,2.0645,1.4649,1.2279,-0.6374,-0.1351,0.2813,1.7286,-1.6329,0.0489,1.8913,3.2738,1.8832,0.3769,1.5966,-1.9188
2.6154,3.4316,2.0367,0.1958,1.4833,0.2305,0.4296,-0.8758,-0.157,-2.0245,1.4748,-1.8221,1.2191,1.3133,2.9537,0.7933,-0.3208,1.2164,-0.5016,-2.702,-0.9246,1.1834,-1.3393,-0.8909,-2.1464,-1.6576,-1.4947,-1.5834,0.2723,0.1608,0.4878,-0.7078,-0.2029,0.3047,0.1547,0.9637,2.7937,1.9088,0.7836,-3.3124,-2.7002,-1.8735,1.7211,1.25,0.5692,-0.0473,0.6267,1.3197,1.1801,-1.6242,0.6402,3.03,1.9586,1.728,1.6801,1.7408,-1.7185
2.6681,1.2022,-0.9562,0.3291,0.9755,-0.0813,-0.0955,-0.9374,-0.9445,-2.4488,1.9254,-1.8922,1.3289,1.2732,2.3499,-1.1086,0.1522,1.8412,-0.487,-1.1603,0.0198,1.187,-1.3245,-0.8242,-2.0374,-1.5882,-0.9388,-1.7738,-0.0404,0,-0.057,-0.1455,0.9578,0.3348,1.4224,1.8249,3.3489,1.7339,1.54,-0.2339,-1.7308,-0.9069,2.4919,1.5927,1.3672,-0.4057,0.7137,0.6886,1.6456,-1.3682,1.1425,2.6263,2.7171,1.3349,0.798,1.5913,-1.7574
3.0118,2.0402,-0.5185,1.1155,2.0175,0.2475,0.7748,-0.8801,0.2743,-1.4601,1.4916,-1.9716,1.112,0.8082,1.4147,-2.9538,-0.8729,1.6026,-1.2709,-2.18,-1.0482,1.5154,-1.1255,-0.7538,-1.8368,-1.6264,-1.483,-1.913,0.4099,-0.4923,-0.2596,-0.9526,0.8771,0.1755,-0.2762,0.1213,1.6122,0.1812,0.5508,-1.5972,-2.7137,-3.0831,1.9934,1.1129,0.7594,-0.7977,0.0855,0.0779,1.8375,-1.5911,0.2008,1.751,3.6149,1.5865,0.3923,1.6749,-2.205
1.8623,0.5885,-1.284,0.1783,1.3535,-0.0283,0.235,-1.0275,-0.2347,-2.2543,1.9056,-1.81,1.1466,1.1304,1.9181,-2.1179,-0.0602,1.8708,-0.3526,-1.8153,-0.2384,1.8906,-1.4009,-1.1062,-2.2417,-1.6046,-1.0914,-1.9426,0.3762,0.6228,0.0395,-0.5065,0.7863,0.0393,0.9915,1.2344,2.4899,0.8838,1.3591,-0.4428,-1.5722,-2.2444,2.371,1.6736,1.4949,-0.3271,0.0099,-0.0375,1.2689,-1.618,0.4747,1.9127,2.6529,1.7542,0.2809,1.5556,-2.1057
3.0972,2.051,-0.3878,0.6841,2.38,0.2305,0.5091,-1.0603,-0.2618,-2.0322,2.0273,-1.7921,1.215,1.0723,1.8721,-1.1683,-0.3809,1.4966,-0.6573,-2.0264,-0.5938,1.5013,-1.4333,-1.0773,-2.1343,-1.7855,-1.126,-1.7406,0.6188,0.5048,0.2072,-0.4962,0.926,-0.16,0.7629,1.2891,2.371,0.8686,1.1234,-0.649,-2.1897,-2.0722,2.0792,1.5019,1.4997,-0.8073,-0.0633,-0.0582,1.6488,-1.7179,-0.048,1.4184,2.6083,1.4711,0.1784,1.6717,-2.1786
0.9131,0.2404,-2.856,-0.5644,-0.0901,0.6009,0.6234,-0.6174,0.4361,-1.8639,1.9743,-1.933,1.0185,1.0908,2.0983,-2.4413,-0.4412,1.9346,-0.6309,-1.5446,-0.5191,1.3379,-1.0282,-0.6824,-1.9421,-1.517,-1.1913,-1.7124,0,-0.1221,-0.2235,-0.7495,0.9044,0.0198,0.0295,0.1554,1.8026,0.3668,0.6738,-1.655,-3.5404,-4.5323,1.4337,0.5903,-0.1957,-1.9658,0.1466,0.4461,1.5234,-1.5679,0.5135,2.4075,3.2578,1.3522,0.539,1.7511,-2.1015
3.2742,2.3835,-0.6051,1.4513,1.8013,0.6474,0.7957,-0.4054,0.0299,-1.9031,1.6706,-1.866,1.1533,0.6788,1.3426,-3.1332,-0.7855,1.5606,-1.8425,-2.0111,-0.4122,1.3885,-1.1225,-0.6562,-1.8749,-1.5795,-1.0651,-1.9059,0.8843,-0.4412,-0.6124,-0.8916,0.7146,-0.0755,0.1951,-0.0388,1.5061,-0.1481,0.9309,-1.7787,-2.3105,-3.8876,1.9648,1.2388,0.7384,-1.0313,-0.1063,0.0967,2.0446,-1.6058,0.0489,1.77,3.559,1.7201,0.5668,1.8785,-2.1786
1.3091,0.0684,-1.9093,-0.1071,0.4094,0.4819,0.7182,-0.8526,-0.2336,-1.9031,1.6012,-1.9961,0.9202,0.7112,1.2781,-2.8645,-0.9575,1.3556,-1.3518,-2.4246,-1.0749,1.0963,-0.8674,-0.7039,-1.7036,-1.6869,-1.483,-1.9815,0.0494,-0.9027,-0.9939,-1.297,-0.0303,-0.7155,0.2337,0.4676,1.6392,0.1812,0.776,-1.53,-2.7927,-2.6972,2.0418,1.0777,0.564,-1.0873,-0.1097,0.0199,2.1237,-1.7581,-0.0161,1.3643,3.6149,1.452,0.6409,1.9275,-2.2866
3.7208,2.9123,0.2556,0.7951,1.1239,1.018,1.182,-0.6074,0.8597,-1.3356,1.9106,-1.396,1.3289,1.1097,1.8877,-1.1281,-0.544,1.8162,-0.3497,-1.8153,-0.3613,1.7855,-0.7047,-0.5713,-1.4784,-1.4723,-1.1568,-1.8091,0.0199,0.1874,-0.2351,-0.7662,0.838,-0.2746,-0.0505,0.1299,1.614,0.3114,0.5353,-1.492,-2.5011,-3.1598,1.6438,0.9859,0.6148,-1.1845,0.398,0.7581,1.8923,-1.6016,0.3569,2.2463,2.7834,1.5451,0.8571,1.8836,-1.7574
3.3823,1.7184,-0.8656,1.0905,2.1512,0.0491,0.5013,-0.8136,-0.1704,-1.7725,1.1571,-2.1659,0.8981,0.8159,1.3769,-2.486,-0.4316,1.5243,-1.1896,-2.0657,-0.6787,1.6023,-1.1907,-0.8888,-1.8306,-1.7238,-1.2104,-1.9625,0.2004,0.0199,-0.3782,-0.5828,0.5941,-0.0253,0.2185,0.1802,1.5382,-0.211,0.581,-1.6651,-3.0938,-3.4192,1.6866,0.9369,0.6992,-1.7606,-0.3542,-0.5503,0.8788,-1.7157,-0.0691,1.0756,2.4294,1.3102,-0.3033,1.0721,-2.3212
1.9836,0.6909,-1.2152,0.6905,0.8337,1.1805,1.4351,-0.2285,-0.631,-1.4685,2.0891,-1.5474,1.3832,1.0866,1.8905,-1.5782,-0.3034,1.6394,-0.5712,-1.6909,-0.1921,0.9419,-0.9674,-0.5288,-1.8002,-1.5534,-1.4676,-1.9511,0.2004,-0.1265,-0.391,-0.6073,0.69,-0.1508,0.1629,0.3886,1.8474,0.3464,0.8205,-1.039,-2.2626,-3.1228,1.8994,0.872,0.3023,-1.7075,0.3536,0.3776,1.9008,-1.4596,0.5325,2.0737,3.3055,1.2778,0.9198,2.0708,-1.8406
