name,fc,log2fc,padj,log10p
PC 29:0,2.7314,1.4497,0.024963,11.884
LPC 16:0,1.61,0.68708,0.80034,9.4237
PE O-38:4,2.0237,1.017,0.049009,7.9665
Cer 18:0;O2/24:1.1,2.0237,1.017,0.11298,7.9665
LPC 22:6,2.1068,1.075,0.0012322,7.7409
LPC O-24:1,1.3599,0.44355,0.038555,7.7206
LPC 18:2,1.4109,0.4966,0.00024447,7.5218
Hex2Cer 18:1;O2/16:0,1.3526,0.43576,0.4125,7.4887
LPC 20:5,1.5838,0.66337,5.12E-12,6.8219
PI 32:1,13.097,3.7112,0.00051052,6.4605
Cer 18:1;O2/18:0.1,13.097,3.7112,0.00044995,6.4605
HexCer 18:1;O2/24:1,1.3617,0.44545,0.0090653,6.2915
PE O-35:3,1.3086,0.38805,0.055776,6.2915
SPBP 16:1;O2,1.3086,0.38805,0.083983,6.2915
CAR 12:1,1.7835,0.83469,0.14468,6.2773
HexCer 18:1;O2/24:0;O,1.3548,0.43805,0.057065,6.0992
PE O-18:2_20:4,2.0076,1.0055,0.00026097,5.9848
DHEA,2.0076,1.0055,0.081762,5.9848
PI 33:1,3.9033,1.9647,0.03405,5.9321
Cer 18:1;O2/20:0.1,3.9033,1.9647,0.27882,5.9321
PE O-38:3,1.778,0.83021,0.08287,5.7109
Cer 18:0;O2/24:0.1,1.778,0.83021,0.044173,5.7109
PC 36:4,0.60108,-0.73437,5.11E-07,5.7109
ST 27:1;O;S,18.063,4.175,0.98201,5.5794
PC 42:5,1.8238,0.86697,2.15E-05,5.5794
DG 40:7,1.2213,0.28847,0.76368,5.5794
CAR 10:0,5.7384,2.5207,0.42357,5.4454
DG 40:6,1.27,0.34485,0.41956,5.3625
HexCer 18:1;O2/24:0,1.2365,0.30628,0.66786,5.2543
PC 39:3,1.2945,0.37239,0.76438,5.214
PC 36:3,0.56692,-0.81878,7.96E-07,5.1526
PC 36:1,0.70683,-0.50057,0.17452,5.0938
PC 35:4,0.32259,-1.6322,0.00051052,4.8932
PE O-40:8,2.0266,1.0191,0.024963,4.8655
Cer 18:1;O2/14:0,2.0266,1.0191,0.0017602,4.8655
DG 38:6,5.1588,2.367,0.69094,4.8151
Hex2Cer 18:1;O2/24:0,2.5562,1.354,0.33602,4.8138
LPC 18:0,1.7973,0.84582,0.44471,4.8096
PE O-18:2_18:2,2.1983,1.1364,0.065177,4.6752
LEA,2.1983,1.1364,0.092991,4.6752
LPC 20:2,1.7326,0.79294,0.044302,4.6752
LPC 18:3,2.1121,1.0787,8.41E-16,4.5797
PI 34:1,0.11837,-3.0786,2.11E-05,4.4479
Cer 18:1;O2/22:0.1,0.11837,-3.0786,0.00099281,4.4479
PE 36:2,3.0893,1.6273,0.034142,4.3238
TG 58:9,3.0893,1.6273,0.00265,4.3238
PE 37:4,1.4152,0.50096,0.41956,4.3094
TG O-50:1,1.4152,0.50096,0.00049684,4.3094
PC 31:0,1.1141,0.15593,0.0079046,4.3094
PC O-18:1_18:2,0.80932,-0.30522,1.82E-08,4.2966
PE 36:5,2.9373,1.5545,0.47216,4.1077
TG 60:3,2.9373,1.5545,0.69832,4.1077
PC 39:4,1.6784,0.74705,0.75287,3.9809
SE 27:1/22:5,1.2008,0.26398,0.6311,3.969
PC 40:6,1.2228,0.29021,0.0024404,3.9295
LPC 15:0,1.917,0.93884,0.00099281,3.918
PC O-16:0_16:0,3.0925,1.6288,1.55E-05,3.8465
LPC 16:1,1.2553,0.32807,0.02434,3.7875
LPC 14:0,1.7417,0.80046,0.092985,3.786
PC 38:4,2.4656,1.302,3.77E-10,3.7451
PC 37:3,0.12116,-3.045,0.00012702,3.6848
DG 34:2,0.80379,-0.31511,3.59E-06,3.6118
PE O-16:1_18:1,1.1918,0.25308,0.0074118,3.5834
LPA 18:2,1.1918,0.25308,0.62352,3.5834
PC 36:0,0.23344,-2.0989,0.00097778,3.5815
DG 36:2,0.37701,-1.4073,5.28E-07,3.5058
PI 32:0,5.0616,2.3396,0.031584,3.4854
Cer 18:1;O2/16:0.1,5.0616,2.3396,0.00010741,3.4854
PC 38:6,1.9139,0.93654,0.00016311,3.4715
PE O-36:6,1.9375,0.95418,0.012958,3.4472
SPBP 18:0;OH,1.9375,0.95418,0.071094,3.4472
LPC O-16:1,0.63842,-0.64743,0.00035711,3.4472
SM 42:2;O2,0.63842,-0.64743,0.010162,3.4472
PI 36:3,2.3619,1.24,0.00035711,3.3912
HexCer 18:1;O2/18:0,2.3619,1.24,0.29009,3.3912
PC 40:7,3.3578,1.7475,0.0090812,3.389
SE 27:1/22:6,1.2457,0.31694,0.10027,3.3468
SM 34:0;O2,1.1826,0.24193,0.01233,3.3217
PE O-35:2,1.7637,0.8186,0.26493,3.3137
PEA,1.7637,0.8186,0.010114,3.3137
PE O-18:1_22:6,14.48,3.856,0.087702,3.292
OEA/VEA,14.48,3.856,0.041897,3.292
SM 32:2;O2,1.1378,0.18622,0.0011579,3.2219
LPE 20:4,0.87004,-0.20085,0.023243,3.1032
TG 49:4,0.87004,-0.20085,0.0018422,3.1032
LPC 20:4,1.2974,0.37567,0.00031206,3.0851
SM 32:1;O2,1.1075,0.14734,0.0027078,3.0031
PC 38:3,3.5475,1.8268,0.00012078,2.9752
PC 42:7,2.2764,1.1867,0.93636,2.9752
SE 27:1/20:5,1.4075,0.49317,0.37276,2.7545
PC 32:1,1.5086,0.59321,1.53E-05,2.7331
LPC 17:0,2.5027,1.3235,0.044173,2.6125
PC O-16:0_18:2,0.89689,-0.15699,0.024935,2.5768
PC 34:1,0.76963,-0.37777,2.63E-06,2.5674
PC 30:1,1.1727,0.22978,0.0076139,2.554
LPC O-18:0,0.081468,-3.6176,0.0033311,2.4774
SM 42:4;O2,0.081468,-3.6176,0.0073819,2.4774
LPC 22:0,1.3516,0.43463,0.21819,2.3746
PE 36:1,1.5538,0.63579,0.0079046,2.359
TG 58:8,1.5538,0.63579,0.00014239,2.359
LPE 18:2,1.2311,0.29996,0.97215,2.2869
TG 46:0,1.2311,0.29996,0.012663,2.2869
PE 38:4,1.2907,0.36812,0.32859,2.2334
TG O-50:3,1.2907,0.36812,0.0042292,2.2334
LPC 22:5,1.8462,0.88453,0.024963,2.1721
PC 36:6,0.36198,-1.466,0.01982,2.1318
PE 36:4,2.6972,1.4315,0.030367,2.1301
TG 60:2,2.6972,1.4315,0.75622,2.1301
PC 38:2,6.6263,2.7282,0.09916,2.1067
SM 37:2;O2,1.1481,0.1993,0.016617,2.1067
LPI 18:1,1.6225,0.69818,0.041449,2.1021
TG 56:1,1.6225,0.69818,0.95022,2.1021
Cer 18:1;O2/24:1,0.74215,-0.43021,0.03284,2.0426
PC 36:2,0.27375,-1.8691,5.57E-06,2.0419
SE 27:1/18:2,1.1883,0.24889,4.90E-05,1.9951
PC 36:5,0.88309,-0.17937,0.00016369,1.993
PE 38:2,2.3416,1.2275,0.93234,1.972
TG O-50:2,2.3416,1.2275,0.011846,1.972
DG 36:4,5.5857,2.4817,0.075062,1.9253
PC 34:2,0.69656,-0.52169,3.25E-08,1.909
LPC O-16:0,0.65733,-0.6053,0.012634,1.8984
SM 42:1;O2,0.65733,-0.6053,1.95E-06,1.8984
PC 37:6,2.5045,1.3245,0.0024404,1.8975
PE O-16:1_18:2,14.258,3.8337,7.80E-05,1.8875
LPA 20:4,14.258,3.8337,0.97745,1.8875
LPC O-18:1,0.44838,-1.1572,0.014551,1.8371
SM 43:1;O2,0.44838,-1.1572,9.23E-05,1.8371
LPE 22:4,0.68118,-0.55388,0.69094,1.8152
TG 52:1,0.68118,-0.55388,0.00033765,1.8152
PE 36:3,5.772,2.5291,0.11806,1.8149
TG 60:12,5.772,2.5291,0.30426,1.8149
LPE 20:5,1.1957,0.25782,0.83596,1.8
TG 51:2,1.1957,0.25782,0.00017985,1.8
LPE O-18:1,1.7315,0.792,0.015303,1.7822
TG 54:1,1.7315,0.792,0.37624,1.7822
DG 34:1,0.88424,-0.17749,2.63E-06,1.6421
LPE 18:3,1.1247,0.1696,0.70116,1.6337
TG 48:4,1.1247,0.1696,0.007822,1.6337
LPI 18:0,1.9035,0.92868,0.024952,1.6337
TG 55:6,1.9035,0.92868,0.00040828,1.6337
LPC 18:1,1.3227,0.40351,0.022798,1.6032
LPE 22:5,1.6038,0.68153,0.00078844,1.6029
TG 52:3,1.6038,0.68153,6.11E-06,1.6029
PE O-18:1_18:2,1.6324,0.70696,0.0058424,1.6027
1-AG,1.6324,0.70696,0.75622,1.6027
Hex2Cer 18:1;O2/24:1,1.379,0.46364,0.76438,1.5804
PC 32:2,1.108,0.14799,4.34E-06,1.5759
LPI 20:4,1.3799,0.46456,0.016513,1.5176
TG 56:8,1.3799,0.46456,0.0010589,1.5176
PE O-18:1_20:4,9.9417,3.3135,0.1949,1.5005
2-AG,9.9417,3.3135,5.05E-05,1.5005
PI 40:5,1.1444,0.1946,3.46E-07,1.4836
Hex2Cer 18:1;O2/24:1.1,1.1444,0.1946,0.30451,1.4836
PC 34:5,0.5601,-0.83625,0.88709,1.4816
PC O-16:1_16:0,0.86936,-0.20197,2.63E-05,1.4816
LPI 18:2,1.1572,0.21061,0.044173,1.4667
TG 56:3,1.1572,0.21061,0.12088,1.4667
LPE 22:6,1.6899,0.75693,0.015847,1.3825
TG 52:5,1.6899,0.75693,0.00010449,1.3825
PC 39:5,1.7065,0.77108,0.00038108,1.3778
PC O-18:1_20:4,1.143,0.1928,1.90E-08,1.3778
PI 40:6,4.923,2.2995,1.17E-06,1.3621
LPE O-16:1,4.9347,2.303,0.03187,1.3548
TG 53:2,4.9347,2.303,0.041897,1.3548
SE 27:1/20:3,1.0998,0.13724,0.0018489,1.3548
FA 18:2,0.75198,-0.41124,0.046404,1.3334
SM 40:0;O2,0.75198,-0.41124,0.00020528,1.3334
PE O-18:1_18:1,1.5896,0.66867,0.010667,1.3097
EPEA,1.5896,0.66867,0.27401,1.3097
PC 35:3,0.80248,-0.31746,0.00032706,1.249
Cer 18:1;O2/24:0,8.4871,3.0853,0.075062,1.2436
PC 37:4,2.4707,1.3049,0.0051349,1.2208
PE 40:7,1.4263,0.51227,0.015314,1.1859
LPA 18:1,1.4263,0.51227,0.032989,1.1859
SE 27:1/20:2,0.96455,-0.052073,0.39554,1.1482
PC 32:0,1.373,0.45729,0.011878,1.1379
PC O-16:1_20:4,1.1072,0.14691,1.51E-07,1.1379
