name,fc,log2fc,padj,log10p,colour,label
PC 29:0,2.7314,1.4497,0.024963,11.884,Upregulated,PC 29:0
LPC 16:0,1.61,0.68708,0.80034,9.4237,Not_significant,
PE O-38:4,2.0237,1.017,0.049009,7.9665,Upregulated,PE O-38:4
Cer 18:0;O2/24:1.1,2.0237,1.017,0.11298,7.9665,Not_significant,
LPC 22:6,2.1068,1.075,0.0012322,7.7409,Upregulated,LPC 22:6
LPC O-24:1,1.3599,0.44355,0.038555,7.7206,Not_significant,
LPC 18:2,1.4109,0.4966,0.00024447,7.5218,Not_significant,
Hex2Cer 18:1;O2/16:0,1.3526,0.43576,0.4125,7.4887,Not_significant,
LPC 20:5,1.5838,0.66337,0.00000000000512,6.8219,Upregulated,LPC 20:5
PI 32:1,13.097,3.7112,0.00051052,6.4605,Upregulated,PI 32:1
Cer 18:1;O2/18:0.1,13.097,3.7112,0.00044995,6.4605,Upregulated,Cer 18:1;O2/18:0.1
HexCer 18:1;O2/24:1,1.3617,0.44545,0.0090653,6.2915,Not_significant,
PE O-35:3,1.3086,0.38805,0.055776,6.2915,Not_significant,
SPBP 16:1;O2,1.3086,0.38805,0.083983,6.2915,Not_significant,
CAR 12:1,1.7835,0.83469,0.14468,6.2773,Not_significant,
HexCer 18:1;O2/24:0;O,1.3548,0.43805,0.057065,6.0992,Not_significant,
PE O-18:2_20:4,2.0076,1.0055,0.00026097,5.9848,Upregulated,PE O-18:2_20:4
DHEA,2.0076,1.0055,0.081762,5.9848,Not_significant,
PI 33:1,3.9033,1.9647,0.03405,5.9321,Upregulated,PI 33:1
Cer 18:1;O2/20:0.1,3.9033,1.9647,0.27882,5.9321,Not_significant,
PE O-38:3,1.778,0.83021,0.08287,5.7109,Not_significant,
Cer 18:0;O2/24:0.1,1.778,0.83021,0.044173,5.7109,Upregulated,Cer 18:0;O2/24:0.1
PC 36:4,0.60108,-0.73437,0.000000511,5.7109,Downregulated,PC 36:4
ST 27:1;O;S,18.063,4.175,0.98201,5.5794,Not_significant,
PC 42:5,1.8238,0.86697,0.0000215,5.5794,Upregulated,PC 42:5
DG 40:7,1.2213,0.28847,0.76368,5.5794,Not_significant,
CAR 10:0,5.7384,2.5207,0.42357,5.4454,Not_significant,
DG 40:6,1.27,0.34485,0.41956,5.3625,Not_significant,
HexCer 18:1;O2/24:0,1.2365,0.30628,0.66786,5.2543,Not_significant,
PC 39:3,1.2945,0.37239,0.76438,5.214,Not_significant,
PC 36:3,0.56692,-0.81878,0.000000796,5.1526,Downregulated,PC 36:3
PC 36:1,0.70683,-0.50057,0.17452,5.0938,Not_significant,
PC 35:4,0.32259,-1.6322,0.00051052,4.8932,Downregulated,PC 35:4
PE O-40:8,2.0266,1.0191,0.024963,4.8655,Upregulated,PE O-40:8
Cer 18:1;O2/14:0,2.0266,1.0191,0.0017602,4.8655,Upregulated,Cer 18:1;O2/14:0
DG 38:6,5.1588,2.367,0.69094,4.8151,Not_significant,
Hex2Cer 18:1;O2/24:0,2.5562,1.354,0.33602,4.8138,Not_significant,
LPC 18:0,1.7973,0.84582,0.44471,4.8096,Not_significant,
PE O-18:2_18:2,2.1983,1.1364,0.065177,4.6752,Not_significant,
LEA,2.1983,1.1364,0.092991,4.6752,Not_significant,
LPC 20:2,1.7326,0.79294,0.044302,4.6752,Upregulated,LPC 20:2
LPC 18:3,2.1121,1.0787,0.000000000000000841,4.5797,Upregulated,LPC 18:3
PI 34:1,0.11837,-3.0786,0.0000211,4.4479,Downregulated,PI 34:1
Cer 18:1;O2/22:0.1,0.11837,-3.0786,0.00099281,4.4479,Downregulated,Cer 18:1;O2/22:0.1
PE 36:2,3.0893,1.6273,0.034142,4.3238,Upregulated,PE 36:2
TG 58:9,3.0893,1.6273,0.00265,4.3238,Upregulated,TG 58:9
PE 37:4,1.4152,0.50096,0.41956,4.3094,Not_significant,
TG O-50:1,1.4152,0.50096,0.00049684,4.3094,Not_significant,
PC 31:0,1.1141,0.15593,0.0079046,4.3094,Not_significant,
PC O-18:1_18:2,0.80932,-0.30522,0.0000000182,4.2966,Not_significant,
PE 36:5,2.9373,1.5545,0.47216,4.1077,Not_significant,
TG 60:3,2.9373,1.5545,0.69832,4.1077,Not_significant,
PC 39:4,1.6784,0.74705,0.75287,3.9809,Not_significant,
